group,member_counts,min_mean_dissimilarity,mean_mean_dissimilarity,max_mean_dissimilarity,sd_mean_dissimilarity,min_pident,mean_pident,max_pident,sd_pident,min_qcovs,mean_qcovs,max_qcovs,sd_qcovs,hierarchical_order
1.0,5,0.7125,0.7473507591442374,0.765625,0.02212400128563954,43.686,44.5402,45.165,0.5592443115490757,80.0,94.4,98.0,8.049844718999244,1
0.0,29,0.6886021716378857,0.7792749927548768,0.8832063975142261,0.053777431084394055,37.467,39.62675862068965,41.04,0.9055370409388638,82.0,92.89655172413794,99.0,7.961267072458678,0
-1.0,5,0.937751610305958,0.9593497283714676,1.0,0.02660677510008429,39.729,68.0144,99.425,22.21196724290759,99.0,99.4,100.0,0.5477225575051652,-1
